request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"5d909721-c2b0-4551-b028-efa4db80a74c",GET,/,"debug=true&locale=en",,302,,,,587327967705700,587328035920300,587328043245200
"72b3ccc6-1a70-431e-925d-e0da20067e81",GET,/any/system/welcome,,,200,text/html;charset=utf-8,service=631,,587328072084400,587328092944400,587332219429100
"088c1ae6-ddf4-4d89-a845-bde983316709",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,587332339801700,587332347194800,587332348286300
"e55f5ede-0b66-47e9-ba87-f816c50f492c",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,587332359048000,587332361492800,587332362437900
"03e11de0-f5a5-4f1f-baec-d9a2207cc18d",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,587332370492300,587332372657100,587332373523400
"b9e6fc55-0b03-47f6-8312-c912f5cd3c3f",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,587332381837300,587332385097200,587332386598700
"7a14a8ed-4aac-45a4-941e-7cd0aed3e4a0",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,587332394668600,587332397018800,587332397982200
"1d13cc7f-b2c0-424a-ac15-36be5a0df6ca",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,587332408130000,587332410357400,587332411226600
"2c9c04b3-a614-4c0d-bc60-aee7dbd9e265",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,587332417366800,587332420321800,587332421463700
"c4798525-0cf2-457b-940f-165745e9dc11",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,587332428510200,587332431670200,587332432761700
"6b506fa0-23e5-433a-adcb-573c2d8f12d6",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,587332439899700,587332442711200,587332443777600
"43c0fa18-99ca-4833-a86e-43ea2333c7b7",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,587332450076300,587332452950300,587332454086400
"cc1dba9c-3349-491a-9aff-12cc60d6cd9e",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,587332460865400,587332463373200,587332464365900
"23512712-5a74-4eed-b9fd-2eb31504e812",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,587332470924300,587332473190400,587332474035100
"f72d1625-4fc1-44f9-97e8-4afb30110a49",GET,/images/banner.png,,,200,image/png,,,587332479281100,587332481390100,587332482378600
"72340878-92ac-4625-8bdb-d18b75195b7b",GET,/images/logo.png,,,200,image/png,,,587332501027400,587332503458900,587332504247900
"97a585d6-d950-4ac3-b548-200739ee4630",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,587332510391200,587332513023200,587332514077200
"2ea469bf-7ca5-49e2-9014-60127f2490d9",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,587332525139600,587332527634100,587332528593400
"6b2001a7-b2db-4596-bd4a-b40f6c74f6e1",GET,/images/favicon.ico,,,200,image/x-icon,,,587332536055800,587332547917500,587332548830400
"9f900758-76c5-4b1f-bbd8-8e1a3cab8a52",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"password=&remember=false&service=633&username=",,587332554790800,587332565142600,587334086812000
"d1f7ac72-2699-4053-90a3-b69c8d466621",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,587334113228700,587334115660900,587334116468300
"161af46a-004a-46cb-8215-621f8bccaa46",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,587334121109900,587334123139700,587334123850300
